refseq,gene,exons,8N,8T,33N,33T,51N,51T,mapping_status
NM_184234,RBM39,17,877,908,1646,1840,1968,1454,redundant_transcript
NM_006625,FUSIP1,6,133,115,212,226,344,254,selected
NM_006793,PRDX3,7,149,90,236,306,572,421,selected
NM_001942,DSG1,15,4095,3281,6120,1103,4708,6117,selected
NM_014873,LPGAT1,8,921,737,911,585,3008,2300,selected
NM_030821,PLA2G12A,4,270,216,520,286,480,493,selected
NM_001129995,KCTD15,7,596,476,618,964,1504,923,redundant_transcript
NM_001129994,KCTD15,7,596,476,618,964,1506,923,selected
NM_174905,FAM98C,8,64,51,49,76,105,50,selected
NM_001105537,ZNF142,10,341,272,295,543,857,568,redundant_transcript
NM_020935,USP37,26,430,344,410,444,770,779,selected
NM_153437,ODF2,17,103,82,136,265,327,203,redundant_transcript
NM_017652,ZNF586,3,98,78,106,93,217,202,selected
NM_181719,TMCO4,16,153,122,179,100,318,250,selected
NM_001024960,ARPC4,6,932,747,952,1514,3331,1669,redundant_transcript
NM_005881,BCKDK,12,187,149,102,267,525,265,selected
NM_001024959,ARPC4,6,933,747,952,1515,3332,1672,selected
NM_025135,FHOD3,25,125,100,169,322,581,405,selected
NM_001191,BCL2L1,3,565,453,466,822,1308,907,selected
NM_016826,OGG1,5,80,64,118,251,276,108,redundant_transcript
NM_133344,RAD17,17,78,62,164,112,151,160,redundant_transcript
NM_001039802,CDC42,7,134,107,212,142,495,659,selected
NM_001093755,C5orf44,13,75,60,131,147,191,185,selected
NM_001093756,C5orf44,12,75,60,131,147,191,185,redundant_transcript
NM_024941,C5orf44,13,75,60,131,147,191,185,redundant_transcript
NM_133338,RAD17,19,83,66,178,119,172,176,selected
NM_133343,RAD17,18,83,66,168,119,167,171,redundant_transcript
NM_133342,RAD17,18,83,66,171,119,167,173,redundant_transcript
NM_173829,SFRS12IP1,5,332,265,569,322,748,797,selected
NM_007182,RASSF1,6,231,185,349,525,1144,629,selected
NM_170714,RASSF1,6,231,185,349,525,1144,629,redundant_transcript
NM_004520,KIF2A,20,372,298,373,399,665,521,redundant_transcript
NM_022900,CASD1,18,140,112,221,208,440,523,selected
NR_023353,EXOSC7,7,139,111,226,350,343,173,selected
NM_017934,PHIP,40,641,513,974,973,1384,1162,selected
NM_012434,SLC17A5,11,54,43,78,106,287,179,selected
NM_003898,SYNJ2,27,287,230,299,579,953,503,selected
NM_203500,KEAP1,6,430,343,407,554,1137,800,redundant_transcript
NM_012289,KEAP1,6,430,343,393,552,1136,798,selected
NM_145637,APOL2,6,164,67,134,162,846,664,selected
NM_030882,APOL2,5,164,67,134,162,846,665,redundant_transcript
NM_001004431,METRNL,4,298,261,269,326,954,250,selected
NM_001003396,TPD52L1,6,500,234,640,775,705,845,redundant_transcript
NM_001003397,TPD52L1,5,499,234,640,774,705,844,redundant_transcript
NM_017752,TBC1D8B,21,67,36,130,157,384,318,selected
NM_013326,C18orf8,20,70,101,125,151,209,87,selected
NM_148921,EPN2,10,1092,545,1229,1486,1553,1464,redundant_transcript
NM_032889,MFSD5,2,229,121,198,239,430,333,selected
NM_014828,TOX4,9,528,349,453,547,1140,1135,selected
NM_002109,HARS,13,385,417,376,456,816,403,selected
NM_006852,TLK2,22,69,54,75,91,139,143,selected
NM_001112707,TLK2,21,69,54,75,91,139,143,redundant_transcript
NM_198319,PRMT1,12,284,323,322,390,989,562,selected
NM_017641,KIF21A,37,465,217,693,835,861,984,selected
NM_006838,METAP2,11,661,343,905,1095,1103,1336,selected
NM_002598,PDCD2,6,101,81,113,137,237,175,selected
NM_175054,HIST4H4,1,141,112,148,179,136,103,selected
NM_001130059,ATF7,11,801,178,828,1003,2025,1621,redundant_transcript
NM_181311,TAZ,10,117,91,208,251,376,315,redundant_transcript
NM_183236,RAB27A,7,215,33,144,174,665,529,redundant_transcript
NM_015635,GAPVD1,27,1010,463,1388,1682,2362,2108,selected
NM_183234,RAB27A,7,215,33,144,174,669,534,selected
NM_017432,PTOV1,12,198,182,255,308,651,423,selected
NR_024272,SEC13,10,204,229,285,345,695,449,redundant_transcript
NM_000268,NF2,16,622,531,496,600,1462,918,redundant_transcript
NM_025155,PAAF1,12,110,36,172,208,264,212,selected
NM_078474,TM2D3,6,91,55,116,140,243,237,selected
NM_001723,DST,24,12284,6110,16267,19590,8324,28511,redundant_transcript
NM_001001975,ATP5D,5,345,390,278,337,670,243,selected
NM_052877,MED8,8,87,63,101,122,200,250,selected
NM_001134423,CDV3,5,1228,1352,1148,1384,4000,2834,redundant_transcript
NM_001024844,CD82,9,605,502,637,770,1668,1123,redundant_transcript
NM_000293,PHKB,31,693,486,816,988,1326,1204,redundant_transcript
NM_006647,NOXA1,14,61,0,74,178,58,43,selected
NM_001004127,ALG11,4,137,123,132,144,311,231,selected
NM_182976,ZNF326,12,319,291,579,254,585,436,selected
NM_032802,SPPL2A,15,246,263,471,330,925,688,selected
NM_032807,FBXO18,22,609,483,586,958,1524,1130,selected
NM_003168,SUPT4H1,5,122,131,206,140,384,285,selected
NM_003846,PEX11B,4,195,342,320,232,615,456,selected
NM_198450,APOOL,9,129,51,186,273,396,295,selected
NM_004747,DLG5,32,1276,1004,1359,2445,2954,2202,selected
NM_021003,PPM1A,6,603,545,959,1131,2407,1788,selected
NM_014225,PPP2R1A,15,964,867,907,1078,3058,2280,selected
NM_001098620,PCBP2,14,785,300,1055,1661,1612,1196,redundant_transcript
NM_001004125,TUSC1,1,182,141,93,118,340,252,selected
NM_001009811,AZI1,25,68,346,144,129,317,236,redundant_transcript
NM_014984,AZI1,26,71,346,144,147,327,243,selected
NM_017821,RHBDL2,8,70,196,120,95,113,84,selected
NM_004384,CSNK1G3,13,354,463,368,325,600,447,redundant_transcript
NM_001044723,CSNK1G3,14,354,463,368,325,600,447,selected
NM_001044722,CSNK1G3,12,352,463,365,325,598,444,redundant_transcript
NM_001031812,CSNK1G3,13,352,463,365,325,598,444,redundant_transcript
NM_019088,PAF1,14,260,280,338,281,544,404,selected
NM_024820,DENND1A,21,86,36,128,183,345,256,redundant_transcript
NM_032788,ZNF514,5,183,218,252,248,432,321,selected
NM_001009814,KIAA0564,26,390,530,598,411,690,514,redundant_transcript
NM_015909,NAG,52,730,481,930,1542,2119,1576,selected
NM_001040452,RUFY1,18,385,302,313,454,837,624,selected
NM_016407,C20orf43,9,224,89,218,379,682,508,selected
NM_003755,EIF3G,11,269,272,380,286,466,347,selected
NM_014367,FAM162A,5,200,161,255,178,169,166,selected
NM_033625,RPL34,6,81,65,77,81,139,170,redundant_transcript
NR_002920,SNORA8,1,764,615,6513,3882,5401,6202,selected
NM_000391,TPP1,13,560,451,688,1117,3115,1990,selected
NM_014877,HELZ,33,1107,893,1198,814,2726,2807,selected
NM_052891,PGLYRP3,7,137,110,152,165,148,196,selected
NM_016202,ZNF580,1,111,89,58,48,211,164,selected
NM_014267,C11orf58,5,249,201,549,388,567,855,selected
NM_020943,KIAA1604,20,209,168,362,211,373,510,selected
NM_183049,TMSL3,4,642,516,939,826,2480,2716,selected
NM_007045,FGFR1OP,13,113,91,152,113,216,172,selected
NM_016264,ZNF44,4,133,107,125,94,180,155,selected
NM_178150,FBXO18,21,604,485,572,940,1498,1116,redundant_transcript
NM_001033049,ADARB1,13,155,125,259,292,748,568,selected
NM_004690,LATS1,8,304,244,426,482,670,851,selected
NM_012398,PIP5K1C,18,422,341,285,397,1195,492,selected
NM_014832,TBC1D4,21,636,512,737,945,2028,638,selected
NM_033148,DTNB,19,66,53,85,104,133,58,redundant_transcript
NM_183361,DTNB,18,66,53,85,104,133,58,redundant_transcript
NM_014634,PPM1F,8,1118,900,945,1338,3694,1268,selected
NM_012115,CASP8AP2,10,426,342,578,572,986,966,redundant_transcript
NM_001137668,CASP8AP2,10,421,339,574,572,982,964,redundant_transcript
NM_001137667,CASP8AP2,10,426,342,577,572,985,966,selected
NM_015306,USP24,65,1558,1259,1814,1505,4001,3346,selected
NM_001984,ESD,10,324,261,384,371,592,512,selected
NM_015231,NUP160,36,458,369,601,688,1232,1178,selected
NM_020679,MIF4GD,7,167,134,115,573,338,240,selected
NM_033546,MRLC2,4,411,330,581,1367,990,642,selected
NM_006571,DCTN6,7,72,58,105,93,94,97,selected
NM_152792,ASPRV1,1,96,259,54,66,299,80,selected
NM_174919,LOC201175,5,63,62,63,77,142,84,selected
NM_003287,TPD52L1,7,500,234,643,780,706,846,redundant_transcript
NM_005419,STAT2,24,1104,847,1099,1337,3716,3427,selected
NR_024012,TEX264,4,153,144,118,144,403,215,redundant_transcript
NM_014964,EPN2,11,1093,545,1229,1491,1559,1467,selected
NM_004906,WTAP,8,287,279,388,472,825,585,selected
NM_198318,PRMT1,10,277,294,315,383,969,551,redundant_transcript
NM_001003828,PARVB,14,151,333,175,213,667,203,selected
NM_006624,ZMYND11,15,518,196,514,626,1174,1178,selected
NM_000181,GUSB,12,81,71,99,121,212,103,selected
NM_144572,TBC1D2B,13,521,355,448,547,1948,1504,redundant_transcript
NM_004580,RAB27A,6,215,33,152,185,670,531,redundant_transcript
NM_032989,BAD,4,97,307,78,95,265,192,selected
NM_004886,APBA3,11,112,109,140,171,333,139,selected
NM_006386,DDX17,13,6775,6693,8232,10044,16290,11537,redundant_transcript
NM_001098504,DDX17,13,6775,6693,8232,10044,16290,11537,selected
NM_001136026,SEC13,10,189,225,269,327,644,394,selected
NM_001004722,NCK2,4,287,153,275,335,550,562,redundant_transcript
NM_053067,UBQLN1,10,995,704,1047,1276,2063,3075,redundant_transcript
NM_078487,CDKN2B,2,556,3,825,1007,665,4320,redundant_transcript
NM_004936,CDKN2B,2,551,3,821,1002,664,4317,selected
NM_014801,PCNXL2,34,334,157,484,589,475,404,selected
NM_001098615,PUS7L,9,234,91,318,387,392,332,redundant_transcript
NM_001042572,CHD2,13,692,522,790,962,1213,1231,redundant_transcript
NM_014675,CROCC,37,166,602,401,488,835,461,selected
NM_053043,RBM33,18,771,734,1000,1218,1760,822,redundant_transcript
NM_020230,PPAN,12,320,389,366,445,727,451,selected
NM_002335,LRP5,23,385,556,281,342,803,468,selected
NM_001136049,LMLN,17,63,51,87,91,140,199,selected
NM_002429,MMP19,9,62,50,38,178,538,164,selected
NM_182943,PLOD2,20,319,258,278,350,1604,632,selected
NM_000935,PLOD2,19,318,258,276,350,1598,632,redundant_transcript
NM_003958,RNF8,8,187,152,188,196,393,426,selected
NM_024770,METTL8,10,365,296,563,682,548,693,selected
NM_000975,RPL11,6,1600,1299,2382,2870,3646,2901,selected
NM_007074,CORO1A,11,172,139,139,209,868,244,selected
NM_001122957,BCKDK,11,192,156,102,278,542,279,redundant_transcript
NM_004259,RECQL5,20,406,329,423,2174,683,443,selected
NM_015107,PHF8,22,766,622,528,902,1368,914,selected
NM_194271,RNF34,7,157,127,187,283,349,230,selected
NM_025126,RNF34,6,157,127,186,283,346,229,redundant_transcript
NM_138635,H2AFV,5,446,362,515,1003,1458,564,redundant_transcript
NM_000116,TAZ,11,120,97,238,274,410,338,selected
NM_014662,DEPDC5,42,195,158,276,395,485,272,redundant_transcript
NM_006294,UQCRB,4,235,191,329,128,524,575,selected
NM_203495,COMMD6,4,109,88,174,158,292,328,redundant_transcript
NM_001100626,ERLIN1,12,336,273,314,845,722,480,selected
NM_015906,TRIM33,20,853,692,1165,789,1717,1742,selected
NM_025133,FBXO11,23,515,419,683,804,1146,1166,selected
NM_001085487,MYSM1,20,343,279,524,531,631,741,selected
NM_019082,DDX56,14,453,367,368,604,1115,503,selected
NM_003594,TTF2,23,293,237,404,395,555,612,selected
NM_005644,TAF12,6,90,73,123,140,230,253,redundant_transcript
NM_016029,DHRS7,7,161,130,209,317,924,590,selected
NM_020954,KIAA1618,17,1148,603,1091,1580,3607,2697,selected
NM_001128143,PMS1,12,163,86,233,311,325,243,redundant_transcript
NR_002913,SNORD63,1,2270,5149,79715,23356,14801,11049,selected
NM_173552,C3orf58,3,310,355,495,372,460,343,redundant_transcript
NM_001038618,NARF,11,182,206,157,178,566,424,redundant_transcript
NM_145021,MARCH8,7,150,171,144,116,359,269,redundant_transcript
NM_001002265,MARCH8,8,150,171,144,116,359,269,selected
NM_138364,LOC90826,12,81,85,176,80,292,219,selected
NM_000454,SOD1,5,351,554,516,290,704,527,selected
NM_182851,CCNB1IP1,7,82,31,87,241,169,126,redundant_transcript
NM_004640,BAT1,11,1229,1577,1847,2171,3180,2387,selected
NM_006802,SF3A3,17,166,155,148,180,427,320,selected
NM_018046,AGGF1,14,224,324,319,248,609,456,selected
NM_001099857,IKBKG,10,69,75,92,111,177,132,redundant_transcript
NM_001080481,USP45,18,162,24,192,346,476,356,selected
NM_199043,C14orf102,12,148,62,215,343,478,357,redundant_transcript
NM_001517,GTF2H4,14,128,148,188,212,301,225,selected
NM_031989,PCBP2,15,841,315,1082,1700,1665,1242,redundant_transcript
NM_001128912,PCBP2,15,839,315,1078,1700,1665,1242,redundant_transcript
NM_020365,EIF2B3,12,158,140,128,118,432,324,selected
NM_001144,AMFR,14,894,1099,853,836,2173,1625,selected
NM_001099749,GOLSYN,6,81,0,67,174,118,88,redundant_transcript
NM_001099746,GOLSYN,6,81,0,67,175,118,88,redundant_transcript
NM_031209,QTRT1,10,150,140,183,172,224,168,selected
NM_001130912,SUGT1,14,200,184,228,149,344,258,selected
NM_006704,SUGT1,13,200,184,228,149,344,258,redundant_transcript
NM_013338,ALG5,10,80,108,109,99,231,173,selected
NM_015040,PIP5K3,42,753,769,1003,865,2155,1615,selected
NM_001039938,INTS6,3,202,339,350,196,480,360,redundant_transcript
NM_001136156,ZNF507,7,419,305,495,622,797,598,selected
NM_014910,ZNF507,6,417,305,487,617,791,593,redundant_transcript
NM_015602,TOR1AIP1,10,439,434,569,572,1277,954,selected
NM_001846,COL4A2,48,1460,3836,2090,2554,27174,6509,selected
NM_032017,STK40,12,582,656,349,429,1183,678,selected
NM_024710,ISOC2,6,133,143,104,128,437,258,redundant_transcript
NM_001136201,ISOC2,6,133,140,104,128,437,256,selected
NM_152998,EZH2,19,235,279,322,395,410,123,redundant_transcript
NM_001017405,MAEA,9,277,166,275,336,608,696,selected
NM_144665,SESN3,10,774,389,1143,1399,1269,6457,selected
NM_001241,CCNT2,10,499,354,758,926,1305,1151,selected
NM_014473,DIMT1L,12,99,106,97,119,248,118,selected
NM_198229,RGS12,18,389,228,424,521,785,664,selected
NM_016286,DCXR,8,185,169,178,218,247,120,selected
NM_001536,PRMT1,11,281,309,316,388,977,559,redundant_transcript
NM_006255,PRKCH,14,423,412,592,726,993,655,selected
NM_000895,LTA4H,19,683,225,618,756,755,767,selected
NM_001102399,HNRNPR,10,375,342,450,550,779,528,redundant_transcript
NM_015395,DKFZP434B0335,26,286,365,342,419,1387,544,selected
NM_003761,VAMP8,3,237,167,223,273,367,453,selected
NM_001136232,SEC13,9,204,224,284,348,690,462,redundant_transcript
NR_024273,SEC13,10,200,218,281,345,683,445,redundant_transcript
NM_183352,SEC13,9,200,218,281,345,683,444,redundant_transcript
NM_181829,NF2,16,622,527,492,601,1449,918,redundant_transcript
NM_021107,MRPS12,2,47,109,57,70,121,71,redundant_transcript
NM_014630,ZNF592,11,548,212,537,659,1373,1045,selected
NM_031292,PUS7L,9,226,80,310,381,387,310,redundant_transcript
NM_001098614,PUS7L,9,226,80,310,381,383,309,selected
NM_182709,KAT5,13,298,379,409,501,777,481,redundant_transcript
NM_018338,WDR52,21,70,48,131,161,212,219,selected
NM_033363,MRPS12,3,47,107,57,70,121,70,selected
NM_014607,UBXN4,13,1592,1282,1848,2259,3520,3939,selected
NM_022773,LMF1,11,82,39,101,124,236,185,selected
NM_178502,DTX3,7,100,27,104,128,253,256,selected
NM_194329,RNF38,11,375,102,386,473,869,820,redundant_transcript
NM_001008408,RBM33,18,771,734,1000,1226,1760,827,selected
NM_012432,SETDB1,22,435,348,522,642,1114,1062,selected
NM_052869,TTYH2,8,59,48,43,276,279,116,redundant_transcript
NM_153717,EVC,21,415,338,497,765,1767,1253,selected
NM_001042465,PSAP,15,5374,4400,4619,9226,26654,13314,selected
NM_001042466,PSAP,14,5374,4400,4624,9233,26673,13319,redundant_transcript
NM_002778,PSAP,14,5370,4398,4592,9214,26586,13281,redundant_transcript
NM_022908,NT5DC2,14,315,257,263,468,811,507,redundant_transcript
NM_001497,B4GALT1,6,1119,913,972,1723,3766,2004,selected
NM_024573,C6orf211,5,136,111,208,215,374,403,selected
NM_033394,TANC1,27,999,817,1440,1686,1570,1548,selected
NM_152334,TARSL2,19,147,120,197,244,494,279,selected
NM_003505,FZD1,1,185,151,168,523,1390,763,selected
NM_006264,PTPN13,47,2422,1979,2215,1967,1942,2408,redundant_transcript
NM_080685,PTPN13,48,2426,1983,2218,1971,1942,2409,redundant_transcript
NM_080683,PTPN13,48,2426,1983,2218,1971,1942,2409,selected
NM_080684,PTPN13,45,2352,1920,2138,1930,1846,2278,redundant_transcript
NM_016410,CHMP5,8,165,135,210,284,393,277,selected
NM_001430,EPAS1,16,1608,1312,880,2091,9991,3898,selected
NM_004850,ROCK2,33,788,643,793,743,1731,1334,selected
NM_031454,SELO,9,295,240,234,569,786,357,selected
NM_018690,APOB48R,5,64,52,85,187,677,140,selected
NM_001042412,CYLD,18,996,813,1125,1114,2532,2836,redundant_transcript
NM_001042355,CYLD,18,996,813,1125,1114,2536,2837,redundant_transcript
NM_015205,ATP11A,30,559,457,450,715,1635,821,selected
NM_181312,TAZ,10,119,97,238,272,404,333,redundant_transcript
NM_016248,AKAP11,13,1178,961,1309,1385,2794,2409,selected
NM_013354,CNOT7,7,183,149,251,376,542,358,selected
NM_052865,C20orf72,5,157,128,245,303,327,162,selected
NM_001003694,BRPF1,14,258,210,182,337,549,287,selected
NM_005611,RBL2,22,683,556,1130,1130,2029,1761,selected
NM_001128846,SMARCA4,33,1297,1062,1144,1570,2508,1852,redundant_transcript
NM_001128847,SMARCA4,33,1297,1062,1138,1559,2506,1854,redundant_transcript
NM_001128845,SMARCA4,33,1299,1062,1144,1570,2512,1857,redundant_transcript
NM_012243,SLC35A3,8,174,142,344,183,303,435,selected
NM_032833,PPP1R15B,2,1074,876,1378,1575,2619,2641,selected
NM_033020,TRIM33,19,850,692,1159,789,1716,1738,redundant_transcript
NM_004762,CYTH1,13,790,645,857,1054,1561,945,selected
NM_017456,CYTH1,13,790,645,857,1054,1561,943,redundant_transcript
NM_001329,CTBP2,11,102,83,128,179,322,194,redundant_transcript
NM_001100913,PACS2,24,520,426,451,850,1846,995,selected
NM_006459,ERLIN1,11,343,281,321,844,732,479,redundant_transcript
NR_003002,SCARNA13,1,3464,2827,9626,11108,6298,7040,selected
NM_002490,NDUFA6,3,146,119,246,269,285,259,selected
NM_006893,LGTN,15,274,224,224,349,558,302,selected
NM_016213,TRIP4,13,92,75,233,231,320,376,selected
NM_001037175,SUSD4,6,143,103,183,408,80,60,redundant_transcript
NM_015288,PHF15,11,418,1197,305,283,983,739,selected
NR_003688,SNORD105B,1,12749,28520,50669,45412,26315,19829,selected
NM_004157,PRKAR2A,11,506,468,399,444,1192,901,selected
NM_002946,RPA2,9,243,154,160,247,711,537,selected
NM_000968,RPL4,10,286,90,362,584,731,549,selected
NR_002440,SNORD16,1,1700,5177,51195,24597,10179,7654,selected
NM_001455,FOXO3,3,162,47,124,246,469,354,redundant_transcript
NM_001024732,MECR,10,56,65,74,86,155,117,selected
NM_013375,ABT1,3,119,143,112,100,310,234,selected
NM_182852,CCNB1IP1,7,85,31,88,242,173,130,redundant_transcript
NM_178509,STXBP4,18,103,74,155,264,278,209,selected
NM_003009,SEPW1,6,345,575,515,490,1391,1050,selected
NM_021178,CCNB1IP1,7,81,32,87,241,167,126,selected
NM_003498,SNN,2,371,296,209,523,1049,793,selected
NM_016481,C9orf156,5,89,35,102,141,238,179,selected
NM_015088,TNRC6B,21,2245,1516,2176,3601,5767,4342,redundant_transcript
NM_080598,BAT1,11,1155,1508,1769,2026,2963,2228,redundant_transcript
NM_005119,THRAP3,12,1106,1282,1400,1430,2805,2115,selected
NM_001008662,CCBL2,13,129,173,277,202,280,211,redundant_transcript
NM_001029939,ZFAT,7,397,221,114,381,298,225,redundant_transcript
NM_002154,HSPA4,19,1193,1336,982,1142,1748,1318,selected
NM_015442,CNOT10,19,229,112,250,308,383,289,selected
NM_001018108,SERF2,3,1130,1398,1505,1501,2755,2077,selected
NM_178542,C17orf65,4,62,52,82,78,214,161,selected
NM_000126,ETFA,12,417,203,397,519,841,633,selected
NM_001137551,LRRFIP1,12,223,323,313,386,1159,485,redundant_transcript
NM_018688,BIN3,9,94,199,145,179,460,198,selected
NM_001037278,GGPS1,3,93,61,114,141,273,356,redundant_transcript
NM_144568,TMEM55B,7,154,146,178,220,431,259,redundant_transcript
NM_000431,MVK,11,159,138,146,180,276,178,selected
NM_022830,TUT1,9,199,261,165,204,540,223,selected
NM_006791,MORF4L1,12,120,67,119,147,278,327,redundant_transcript
NM_145253,FAM100A,3,153,134,134,165,365,203,selected
NM_000617,SLC11A2,16,494,222,601,743,1157,921,selected
NM_001102397,HNRNPR,10,375,339,446,550,779,528,redundant_transcript
NM_001102398,HNRNPR,11,394,343,459,565,807,555,selected
NM_144999,LRRC45,17,91,223,116,143,237,171,selected
NM_022835,PLEKHG2,19,492,458,343,423,2078,784,selected
NM_014719,FAM115A,9,69,71,63,78,171,91,selected
NM_139157,ST5,19,574,153,410,505,1283,989,redundant_transcript
NM_007005,TLE4,20,272,134,321,395,589,895,selected
NM_001135765,ATP2A2,19,6352,5594,5992,7405,15720,9120,redundant_transcript
NM_170665,ATP2A2,20,6390,5605,6041,7447,15820,9233,redundant_transcript
NM_153265,EML3,22,757,1046,702,867,2040,883,selected
NM_001003692,ZMAT5,6,28,67,75,93,205,114,redundant_transcript
NM_019103,ZMAT5,7,28,67,75,93,205,115,selected
NM_001382,DPAGT1,9,144,45,120,148,366,350,selected
NM_194328,RNF38,12,389,99,410,506,891,829,redundant_transcript
NM_080820,DTD1,6,99,127,93,115,246,88,selected
NM_003025,SH3GL1,10,530,504,405,500,1180,490,selected
NM_000896,CYP4F3,13,66,54,103,234,58,22,selected
NM_001008844,DSP,24,36463,30077,42952,33923,36333,76698,selected
NM_182398,RPS6KA5,13,153,126,313,201,238,214,redundant_transcript
NM_178169,RASSF3,5,90,74,123,227,437,245,selected
NM_182639,HPS1,10,118,97,183,279,405,154,redundant_transcript
NM_004913,C16orf7,15,234,192,276,566,678,418,selected
NM_175061,JAZF1,5,84,69,207,67,252,472,selected
NM_014650,ZNF432,5,56,46,127,144,184,196,selected
NM_030938,TMEM49,12,1503,1233,2024,2094,4235,3859,selected
NM_003257,TJP1,28,2720,2239,2935,2032,4557,4147,selected
NM_201436,H2AFV,4,140,115,204,343,480,228,redundant_transcript
NM_012412,H2AFV,5,140,115,204,343,480,228,selected
NM_015247,CYLD,20,1000,822,1129,1115,2547,2856,selected
NM_007372,DDX42,19,946,777,1170,991,2287,1824,selected
NM_203499,DDX42,18,944,777,1162,989,2286,1821,redundant_transcript
NM_000462,UBE3A,11,667,548,750,921,1466,1458,redundant_transcript
NM_130838,UBE3A,10,666,548,750,900,1468,1459,redundant_transcript
NM_001128848,SMARCA4,33,1295,1062,1138,1559,2502,1849,redundant_transcript
NM_006313,USP15,21,702,578,1009,916,1678,1731,selected
NM_015197,PACS2,24,518,426,451,850,1846,995,redundant_transcript
NM_001042370,TROVE2,7,242,199,253,178,356,461,redundant_transcript
NM_019892,INPP5E,10,185,152,182,340,407,247,selected
NM_014453,CHMP2A,6,212,174,328,288,441,357,selected
NM_005202,COL8A2,2,201,165,154,298,504,383,selected
NM_014508,APOBEC3C,4,107,73,60,175,217,164,selected
NR_022008,PAR5,1,584,797,10498,2744,1994,1509,selected
NM_177438,DICER1,27,1604,1065,1548,2443,4053,3084,redundant_transcript
NR_003065,SNORD84,1,1975,5526,63039,23960,19325,14646,selected
NM_001136036,ZNF692,12,265,301,317,345,435,331,selected
NM_032856,WDR73,8,170,123,188,392,536,408,selected
NM_002412,MGMT,5,57,71,62,64,148,112,selected
NM_001042548,FEZ2,9,161,91,253,375,439,333,selected
NM_005102,FEZ2,8,161,91,249,375,439,332,redundant_transcript
NM_019597,HNRNPH2,2,580,408,756,976,1501,1139,redundant_transcript
NM_001039708,SDCCAG3,8,118,71,107,310,278,211,redundant_transcript
NM_003576,STK24,11,995,952,1000,1124,1281,974,redundant_transcript
NM_017970,C14orf102,14,174,90,240,393,514,389,selected
NM_001048249,C5orf43,3,315,397,429,391,562,427,selected
NM_004233,CD83,5,58,63,212,203,217,165,redundant_transcript
NM_001040280,CD83,5,58,63,212,203,217,165,selected
NM_015276,USP22,13,1785,782,1577,3777,6725,5107,selected
NM_032292,GON4L,21,307,359,442,444,934,711,redundant_transcript
NM_177444,PPFIBP1,6,106,138,180,181,400,303,redundant_transcript
NM_030645,SH3BP5L,7,329,347,316,379,1009,766,selected
NM_001099754,GOLSYN,7,87,0,69,182,127,96,redundant_transcript
NM_013274,POLL,9,163,124,186,262,366,278,selected
NM_005151,USP14,16,611,539,726,752,1260,959,selected
NM_001099753,GOLSYN,7,87,0,69,182,127,96,redundant_transcript
NM_006521,TFE3,11,280,188,173,524,723,547,selected
NM_001113324,LOC100134934,4,66,53,55,86,136,103,selected
NM_145911,ZNF23,6,65,50,62,131,137,104,selected
NM_016107,ZFR,20,941,736,1175,1690,2450,1862,selected
NM_199139,XAF1,6,375,181,385,478,816,1304,redundant_transcript
NM_024302,MMP28,8,55,12,69,86,65,335,selected
NM_005572,LMNA,10,3510,5131,4079,5064,8232,5452,redundant_transcript
NM_144724,MARVELD2,5,132,92,137,170,84,142,selected
NM_030662,MAP2K2,11,180,295,178,222,647,198,selected
NM_020920,CHD8,38,1237,976,1251,1557,2447,2633,selected
NM_022553,VPS52,20,598,490,762,944,1236,1009,selected
NM_006500,MCAM,16,545,485,843,1044,4419,1390,selected
NM_058241,CCNT2,9,521,361,760,946,1345,1176,redundant_transcript
NM_001100814,TMEM55B,7,154,146,178,221,431,260,selected
NM_018210,CARKD,10,330,529,284,353,1013,666,selected
NM_017905,TMCO3,13,275,483,406,504,1249,903,selected
NM_012192,FXC1,3,336,212,375,466,1181,925,selected
NM_015705,SGSM3,22,614,825,619,771,1558,1153,selected
NM_001271,CHD2,39,1933,1440,2175,2705,3976,4079,selected
NM_024897,PAQR6,7,57,32,86,107,83,71,selected
NM_173191,KCNIP2,10,58,58,40,50,127,93,redundant_transcript
NM_173192,KCNIP2,9,58,58,40,50,127,93,redundant_transcript
NM_014591,KCNIP2,10,58,58,40,50,130,93,selected
NM_005826,HNRNPR,11,394,340,455,565,807,555,redundant_transcript
NM_020845,PITPNM2,25,237,317,245,304,734,413,selected
NM_001040441,ZBTB8,5,107,58,72,90,275,292,selected
NM_014827,ZC3H11A,20,353,176,253,314,642,565,selected
NM_022827,SPATA20,17,186,218,383,477,1182,508,selected
NM_022373,HERPUD2,9,245,152,299,372,586,572,selected
NM_007014,WWP2,25,374,457,503,627,822,560,selected
NM_032667,BSCL2,11,196,416,139,173,444,227,redundant_transcript
NM_004218,RAB11B,5,289,271,293,365,687,392,selected
NM_006364,SEC23A,20,566,335,581,720,1965,2032,selected
NM_016539,SIRT6,8,111,156,136,169,257,140,selected
NM_020695,REXO1,16,308,296,285,354,641,272,selected
NM_001033556,PPM1B,3,140,260,173,215,484,249,redundant_transcript
NM_144601,CMTM3,6,57,47,81,161,455,292,redundant_transcript
NM_014654,SDC3,5,458,379,224,416,1496,1074,selected
NM_032813,TMTC4,19,149,123,153,197,195,116,selected
NM_145858,CRYZL1,13,140,116,180,104,233,201,selected
NM_001105545,ECHDC1,4,245,203,292,225,474,427,redundant_transcript
NM_001003,RPLP1,4,489,405,768,1836,1565,933,selected
